,,Total Verses,OT 1,vss,OT 2,vss,NT,vss,Psalms,vss,Proverbs,vss
72,3/12/2016,62,Exodus 12:29-42,14,,,Mark 10:35-52,18,Psalm 35:1-28,28,Proverbs 13:21-22,2
73,3/13/2016,58,Exodus 12:43-13:2,11,Hosea 1:1-11,11,Mark 11:1-33,33,,,Proverbs 13:23-25,3
74,3/14/2016,85,Exodus 13:3-22,20,Hosea 2:1-23,23,Mark 12:1-27,27,Psalm 36:1-12,12,Proverbs 14:1-3,3
75,3/15/2016,85,Exodus 14:1-31,31,Hosea 3:1-4:19,24,Mark 12:28-37,10,Psalm 37:1-19,19,Proverbs 14:4,1
76,3/16/2016,71,Exodus 15:1-27,27,Hosea 5:1-15,15,Mark 12:38-44,6,Psalm 37:20-40,21,Proverbs 14:5-6,2
77,3/17/2016,92,Exodus 16:1-36,36,Hosea 6:1-7:16,27,Mark 13:1-27,27,,,Proverbs 14:7-8,2
78,3/18/2016,62,Exodus 16:1-36,36,Hosea 8:1-14,14,Mark 13:28-37,10,,,Proverbs 14:9-10,2
79,3/19/2016,82,Exodus 17:1-16,16,Hosea 9:1-17,17,Mark 14:1-25,25,Psalm 38:1-22,22,Proverbs 14:11-12,2
80,3/20/2016,75,Exodus 18:1-27,27,Hosea 10:1-15,15,Mark 14:26-42,17,Psalm 39:1-13,13,Proverbs 14:13-15,3
81,3/21/2016,88,Exodus 19:1-20:26,51,Hosea 11:1-12:14,26,Mark 14:43-52,10,,,Proverbs 14:16,1
82,3/22/2016,73,Exodus 21:1-36,36,Hosea 13:1-16,16,Mark 14:53-72,19,,,Proverbs 14:17-18,2
83,3/23/2016,74,Exodus 22:1-31,31,Hosea 14:1-9,9,Mark 15:1-15,15,Psalm 40:1-17,17,Proverbs 14:19-20,2
84,3/24/2016,64,Exodus 23:1-32,32,,,Mark 15:16-32,17,Psalm 41:1-13,13,Proverbs 14:21-22,2
85,3/25/2016,95,Exodus 24:1-18,18,Jonah 1:1-2:10,27,Mark 15:33-16:20,36,Psalm 42:1-11,11,Proverbs 14:23-25,3
86,3/26/2016,80,Exodus 25:1-40,40,Jonah 3:1-4:11,21,John 1:1-18,18,,,Proverbs 14:26,1
87,3/27/2016,68,Exodus 26:1-37,37,,,John 1:19-42,24,Psalm 43:1-5,5,Proverbs 14:27-28,2
88,3/28/2016,87,Exodus 27:1-21,21,Micah 1:1-2:13,29,John 1:43:51,9,Psalm 44:1-26,26,Proverbs 14:29-30,2
89,3/29/2016,92,Exodus 28:1-43,43,Micah 3:1-4:13,25,John 2:1-22,22,,,Proverbs 14:31-32,2
90,3/30/2016,98,Exodus 29:1-46,46,Micah 5:1-6:16,31,John 2:23-3:15,18,,,Proverbs 14:33-35,3
91,3/31/2016,81,Exodus 30:1-38,38,Micah 7:1-20,20,John 3:16-36,21,,,Proverbs 15:1-2,2
92,4/1/2016,65,Exodus 31:1-18,18,,,John 4:1-45,45,,,Proverbs 15:3-4,2
93,4/2/2016,117,Exodus 32:1-35,35,1 Chronicles 1:1-54,54,John 4:46-54,9,Psalm 45:1-17,17,Proverbs 15:5-6,2
94,4/3/2016,120,Exodus 33:1-23,23,1 Chronicles 2:1-55,55,John 5:1-29,29,Psalm 46:1-11,11,Proverbs 15:7-8,2
95,4/4/2016,78,Exodus 34:1-35,35,1 Chronicles 3:1-24,24,John 5:30-46,17,,,Proverbs 15:9-10,2
96,4/5/2016,110,Exodus 35:1-35,35,1 Chronicles 4:1-43,43,John 6:1-21,21,Psalm 47:1-9,9,Proverbs 15:11-12,2
97,4/6/2016,87,Exodus 36:1-38,40,1 Chronicles 5:1-26,26,John 6:22-40,19,,,Proverbs 15:13-14,2
98,4/7/2016,144,Exodus 37:1-29,29,1 Chronicles 6:1-81,81,John 6:41-59,18,Psalm 48:1-14,14,Proverbs 15:15-16,2
99,4/8/2016,105,Exodus 38:1-31,31,1 Chronicles 7:1-40,40,John 6:60-71,12,Psalm 49:1-20,20,Proverbs 15:17-18,2
100,4/9/2016,97,Exodus 39:1-31,31,1 Chronicles 8:1-40,40,John 7:1-24,24,,,Proverbs 15:19-20,2
101,4/10/2016,98,Exodus 39:32-43,12,1 Chronicles 9:1-34,34,John 7:25-52,27,Psalm 50:1-23,23,Proverbs 15:21-22,2
102,4/11/2016,76,Exodus 40:1-38,38,1 Chronicles 9:35-10:14,24,John 7:53-8:11,12,,,Proverbs 15:23-24,2
103,4/12/2016,109,Leviticus 1:1-2:16,33,1 Chronicles 11:1-47,47,John 8:12-38,27,,,Proverbs 15:25-26,2
104,4/13/2016,99,Leviticus 3:1-17,17,1 Chronicles 12:1-40,40,John 8:39-59,21,Psalm 51:1-19,19,Proverbs 15:27-28,2
105,4/14/2016,91,Leviticus 4:1-35,35,1 Chronicles 13:1-14:17,31,John 9:1-23,23,,,Proverbs 15:29-30,2
106,4/15/2016,96,Leviticus 5:1-30,30,1 Chronicles 15:1-16:7,36,John 9:24-41,18,Psalm 52:1-9,9,Proverbs 15:31-33,3
107,4/16/2016,89,Leviticus 6:1-30,30,1 Chronicles 16:8-43,36,John 10:1-21,21,,,Proverbs 16:1-2,2
108,4/17/2016,94,Leviticus 7:1-38,38,1 Chronicles 17:1-27,27,John 10:22-42,21,Psalm 53:1-6,6,Proverbs 16:3-4,2
109,4/18/2016,82,Leviticus 8:1-36,36,1 Chronicles 18:1-17,17,John 11:1-27,27,,,Proverbs 16:5-6,2
110,4/19/2016,90,Leviticus 9:1-24,24,1 Chronicles 19:1-20:8,27,John 11:28-57,30,Psalm 54:1-7,7,Proverbs 16:7-8,2
111,4/20/2016,94,Leviticus 10:1-20,20,1 Chronicles 21:1-30,30,John 12:1-19,19,Psalm 55:1-23,23,Proverbs 16:9-10,2
112,4/21/2016,85,Leviticus 11:1-47,47,1 Chronicles 22:1-19,19,John 12:20-36,17,,,Proverbs 16:11-12,2
113,4/22/2016,84,Leviticus 12:1-13:28,36,1 Chronicles 23:1-32,32,John 12:37-50,14,,,Proverbs 16:13-14,2
114,4/23/2016,96,Leviticus 13:29-59,30,1 Chronicles 24:1-31,31,John 13:1-20,20,Psalm 56:1-13,13,Proverbs 16:15-16,2
115,4/24/2016,83,Leviticus 14:1-32,32,1 Chronicles 25:1-31,31,John 13:21-38,18,,,Proverbs 16:17-18,2
116,4/25/2016,84,Leviticus 14:33-57,25,1 Chronicles 26:1-32,32,John 14:1-14,14,Psalm 57:1-11,11,Proverbs 16:19-20,2
117,4/26/2016,86,Leviticus 15:1-33,33,1 Chronicles 27:1-34,34,John 14:15-31,17,,,Proverbs 16:21-22,2
118,4/27/2016,85,Leviticus 16:1-34,34,1 Chronicles 28:1-21,21,John 15:1-17,17,Psalm 58:1-11,11,Proverbs 16:23-24,2
119,4/28/2016,90,Leviticus 17:1-16,16,1 Chronicles 29:1-30,30,John 15:18-16:33,42,,,Proverbs 16:25-26,2
120,4/29/2016,58,Leviticus 18:1-30,30,,,John 17:1-26,26,,,Proverbs 16:27-28,2
121,4/30/2016,78,Leviticus 19:1-18,18,2 Chronicles 1:1-17,17,John 18:1-24,24,Psalm 59:1-17,17,Proverbs 16:29-30,2
122,5/1/2016,80,Leviticus 19:19-37,39,2 Chronicles 2:1-18,18,John 18:25-32,8,Psalm 60:1-12,12,Proverbs 16:31-33,3
123,5/2/2016,95,Leviticus 20:1-27,27,2 Chronicles 3:1-4:22,39,John 18:33-19:11,19,Psalm 61:1-8,8,Proverbs 17:1-2,2
124,5/3/2016,71,Leviticus 21:1-24,24,2 Chronicles 5:1-14,14,John 19:12-42,31,,,Proverbs 17:3-4,2
125,5/4/2016,91,Leviticus 22:1-16,16,2 Chronicles 6:1-42,42,John 20:1-31,31,,,Proverbs 17:5-6,2
126,5/5/2016,78,Leviticus 22:17-33,17,2 Chronicles 7:1-22,22,John 21:1-25,25,Psalm 62:1-12,12,Proverbs 17:7-8,2
127,5/6/2016,80,Leviticus 23:1-22,22,2 Chronicles 8:1-18,18,Luke 1:1-38,38,,,Proverbs 17:9-10,2
128,5/7/2016,83,Leviticus 23:23-44,22,2 Chronicles 9:1-31,31,Luke 1:39-56,17,Psalm 63:1-11,11,Proverbs 17:11-12,2
129,5/8/2016,75,Leviticus 24:1-23,23,2 Chronicles 10:1-19,19,Luke 1:57-2:7,31,,,Proverbs 17:13-14,2
130,5/9/2016,88,Leviticus 25:1-22,22,2 Chronicles 11:1-23,23,Luke 2:8-38,31,Psalm 64:1-10,10,Proverbs 17:15-16,2
131,5/10/2016,78,Leviticus 25:23-55,33,2 Chronicles 12:1-16,16,Luke 2:39-52,14,Psalm 65:1-13,13,Proverbs 17:17-18,2
132,5/11/2016,75,Leviticus 26:1-13,13,2 Chronicles 13:1-22,22,Luke 3:1-38,38,,,Proverbs 17:19-20,2
133,5/12/2016,80,Leviticus 26:14-46,33,2 Chronicles 14:1-15,15,Luke 4:1-30,30,,,Proverbs 17:21-22,2
134,5/13/2016,96,Leviticus 27:1-34,34,2 Chronicles 15:1-16:14,33,Luke 4:31-37,7,Psalm 66:1-20,20,Proverbs 17:23-24,2
135,5/14/2016,85,Numbers 1:1-19,19,2 Chronicles 17:1-19,19,Luke 4:38-5:39,45,,,Proverbs 17:25-26,2
136,5/15/2016,96,Numbers 1:20-46,27,2 Chronicles 18:1-34,34,Luke 6:1-26,26,Psalm 67:1-7,7,Proverbs 17:27-28,2
137,5/16/2016,71,Numbers 1:47-54,8,2 Chronicles 19:1-11,11,Luke 6:27-7:17,50,,,Proverbs 18:1-2,2
138,5/17/2016,100,Numbers 2:1-34,34,2 Chronicles 20:1-37,37,Luke 7:18-50,27,,,Proverbs 18:3-4,2
139,5/18/2016,82,Numbers 3:1-39,39,2 Chronicles 21:1-20,20,Luke 8:1-21,21,,,Proverbs 18:5-6,2
140,5/19/2016,68,Numbers 3:40-4:20,32,2 Chronicles 22:1-12,12,Luke 8:22-25,4,Psalm 68:1-18,18,Proverbs 18:7-8,2
141,5/20/2016,83,Numbers 4:21-49,29,2 Chronicles 23:1-21,21,Luke 8:26-39,14,Psalm 68:19-35,17,Proverbs 18:9-10,2
142,5/21/2016,94,Numbers 5:1-31,31,2 Chronicles 24:1-27,27,Luke 8:40-9:17,34,,,Proverbs 18:11-12,2
143,5/22/2016,90,Numbers 6:1-27,27,2 Chronicles 25:1-28,28,Luke 9:18-50,33,,,Proverbs 18:13-14,2
144,5/23/2016,96,Numbers 7:1-23,23,2 Chronicles 26:1-27:9,32,Luke 9:51-10:12,24,Psalm 69:1-15,15,Proverbs 18:15-16,2
145,5/24/2016,86,Numbers 7:24-47,24,2 Chronicles 28:1-27,27,Luke 10:13-24,12,Psalm 69:16-36,21,Proverbs 18:17-18,2
146,5/25/2016,92,Numbers 7:48-65,18,2 Chronicles 29:1-36,36,Luke 10:25-11:13,31,Psalm 70:1-5,5,Proverbs 18:19-20,2
147,5/26/2016,94,Numbers 7:66-89,24,2 Chronicles 30:1-27,27,Luke 11:14-54,41,,,Proverbs 18:21-22,2
148,5/27/2016,85,Numbers 8:1-26,26,2 Chronicles 31:1-21,21,Luke 12:1-12,12,Psalm 71:1-24,24,Proverbs 18:23-24,2
149,5/28/2016,100,Numbers 9:1-23,23,2 Chronicles 32:1-33,33,Luke 12:13-34,22,Psalm 72:1-20,20,Proverbs 19:1-2,2
150,5/29/2016,88,Numbers 10:1-36,36,2 Chronicles 33:1-25,25,Luke 12:35-59,25,,,Proverbs 19:3-4,2
151,5/30/2016,85,Numbers 11:1-15,15,2 Chronicles 34:1-33,33,Luke 13:1-35,35,,,Proverbs 19:5-6,2
152,5/31/2016,87,Numbers 11:16-35,20,2 Chronicles 35:1-27,27,Luke 14:1-11,11,Psalm 73:1-28,28,Proverbs 19:7,1
153,6/1/2016,87,Numbers 12:1-16,16,2 Chronicles 36:1-23,23,Luke 14:12-35,24,Psalm 74:1-23,23,Proverbs 19:8,1
154,6/2/2016,66,Numbers 13:1-33,33,,,Luke 15:1-32,32,,,Proverbs 19:9,1
155,6/3/2016,92,Numbers 14:1-19,19,Isaiah 1:1-31,31,Luke 16:1-17:10,41,,,Proverbs 19:10,1
156,6/4/2016,86,Numbers 14:20-45,26,Isaiah 2:1-22,22,Luke 17:11-37,27,Psalm 75:1-10,10,Proverbs 19:11,1
157,6/5/2016,97,Numbers 15:1-21,21,Isaiah 3:1-4:6,32,Luke 18:1-43,43,,,Proverbs 19:12,1
158,6/6/2016,90,Numbers 15:22-41,20,Isaiah 5:1-30,30,Luke 19:1-27,27,Psalm 76:1-12,12,Proverbs 19:13,1
159,6/7/2016,77,Numbers 16:1-50,50,Isaiah 6:1-13,13,Luke 19:28-40,13,,,Proverbs 19:14,1
160,6/8/2016,85,Numbers 17:1-13,13,Isaiah 7:1-25,25,Luke 19:41-20:18,26,Psalm 77:1-20,20,Proverbs 19:15,1
161,6/9/2016,87,Numbers 18:1-32,32,Isaiah 8:1-22,22,Luke 20:19-47,29,,,Proverbs 19:16-19,4
162,6/10/2016,89,Numbers 19:1-22,22,Isaiah 9:1-21,21,Luke 21:1-38,38,Psalm 78:1-8,8,,
163,6/11/2016,103,Numbers 20:1-13,13,Isaiah 10:1-34,34,Luke 22:1-34,34,Psalm 78:9-31,22,,
164,6/12/2016,90,Numbers 20:14-29,16,Isaiah 11:1-12:6,22,Luke 22:35-62,28,Psalm 78:32-55,24,,
165,6/13/2016,84,Numbers 21:1-35,35,Isaiah 13:1-22,22,Luke 22:63-71,9,Psalm 78:56-72,17,Proverbs 19:20,1
166,6/14/2016,91,Numbers 22:1-41,41,Isaiah 14:1-32,32,Luke 23:1-17,17,,,Proverbs 19:21,1
167,6/15/2016,86,Numbers 23:1-30,30,Isaiah 15:1-16:14,23,Luke 23:18-49,32,,,Proverbs 19:22,1
168,6/16/2016,79,Numbers 24:1-25,25,Isaiah 17:1-18:7,21,Luke 23:50-24:12,19,Psalm 79:1-13,13,Proverbs 19:23,1
169,6/17/2016,87,Numbers 25:1-18,18,Isaiah 19:1-25,25,Luke 24:13-35,23,Psalm 80:1-19,19,Proverbs 19:24-25,2
170,6/18/2016,92,Numbers 26:1-51,51,Isaiah 20:1-21:17,23,Luke 24:36-53,18,,,,
171,6/19/2016,82,Numbers 26:52-65,14,Isaiah 22:1-25,25,Acts 1:1-26,26,Psalm 81:1-16,16,Proverbs 19:26,1
172,6/20/2016,83,Numbers 27:1-23,23,Isaiah 23:1-18,18,Acts 2:1-41,41,,,Proverbs 19:27,1
173,6/21/2016,79,Numbers 28:1-31,31,Isaiah 24:1-23,23,Acts 2:42-3:10,16,Psalm 82:1-8,8,Proverbs 19:28,1
174,6/22/2016,69,Numbers 29:1-40,40,Isaiah 25:1-12,12,Acts 3:11-26,16,,,Proverbs 19:29,1
175,6/23/2016,100,Numbers 30:1-16,16,Isaiah 26:1-27:13,34,Acts 4:1-31,31,Psalm 83:1-18,18,Proverbs 20:1,1
176,6/24/2016,90,Numbers 31:1-54,54,Isaiah 28:1-29,29,Acts 4:32-37,6,,,Proverbs 20:2,1
177,6/25/2016,90,Numbers 32:1-42,42,Isaiah 29:1-24,24,Acts 5:1-11,11,Psalm 84:1-12,12,Proverbs 20:3,1
178,6/26/2016,88,Numbers 33:1-49,49,Isaiah 30:1-33,33,Acts 5:12-16,5,,,Proverbs 20:4,1
179,6/27/2016,83,Numbers 33:50-56,7,Isaiah 31:1-32:20,29,Acts 5:17-6:7,33,Psalm 85:1-13,13,Proverbs 20:5,1
180,6/28/2016,78,Numbers 34:1-29,29,Isaiah 33:1-24,24,Acts 6:8-15,7,Psalm 86:1-17,17,Proverbs 20:6,1
181,6/29/2016,88,,,Isaiah 34:1-35:10,27,Acts 7:1-60,60,,,Proverbs 20:7,1
182,6/30/2016,85,Numbers 35:1-36:1-13,47,Isaiah 36:1-22,22,Acts 8:1-8,8,Psalm 87:1-7,7,Proverbs 20:8,1
183,7/1/2016,83,Deuteronomy 1:1-46,46,Isaiah 37:1-20,20,Acts 8:9-25,16,,,Proverbs 20:9,1
184,7/2/2016,71,Deuteronomy 2:1-37,37,Isaiah 37:21-38,18,Acts 8:26-40,15,,,Proverbs 20:10,1
185,7/3/2016,97,Deuteronomy 3:1-29,29,Isaiah 38:1-39:8,30,Acts 9:1-19,19,Psalm 88:1-18,18,Proverbs 20:11,1
186,7/4/2016,79,Deuteronomy 4:1-31,31,Isaiah 40:1-31,31,Acts 9:20-35,16,,,Proverbs 20:12,1
187,7/5/2016,64,Deuteronomy 4:32-49,18,Isaiah 41:1-29,29,Acts 9:36-10:8,16,,,Proverbs 20:13,1
188,7/6/2016,84,Deuteronomy 5:1-33,33,Isaiah 42:1-25,25,Acts 10:9-33,25,,,Proverbs 20:14,1
189,7/7/2016,87,Deuteronomy 6:1-25,25,Isaiah 43:1-28,28,Acts 10:34-48,15,Psalm 89:1-18,18,Proverbs 20:15,1
190,7/8/2016,91,Deuteronomy 7:1-26,26,Isaiah 44:1-28,28,Acts 11:1-18,18,Psalm 89:19-37,18,Proverbs 20:16,1
191,7/9/2016,79,Deuteronomy 8:1-9:6,26,Isaiah 45:1-25,25,Acts 11:19-30,12,Psalm 89:38-52,15,Proverbs 20:17,1
192,7/10/2016,96,Deuteronomy 9:7-10:22,45,Isaiah 46:1-47:15,28,Acts 12:1-5,5,Psalm 90:1-17,17,Proverbs 20:18,1
193,7/11/2016,85,Deuteronomy 11:1-32,32,Isaiah 48:1-22,22,Acts 12:6-19,14,Psalm 91:1-16,16,Proverbs 20:19,1
194,7/12/2016,92,Deuteronomy 12:1-32,32,Isaiah 49:1-26,26,Acts 12:20-13:12,18,Psalm 92:1-15,15,Proverbs 20:20,1
195,7/13/2016,73,Deuteronomy 13:1-14:29,47,Isaiah 50:1-11,11,Acts 13:12-25,14,,,Proverbs 20:21,1
